"I am writing in order to express my disappointment about your musical show "" Over the Rainbow "" .","I am writing in order to express my disappointment with your musical show "" Over the Rainbow "" ."
THIS SITUATION AFFECTS FAMOUS PERSONAL LIVES BECAUSE THEY ARE NOT ALLOWED TO HAVE PRIVACY,THIS SITUATION AFFECTS FAMOUS PEOPLE BECAUSE THEY ARE NOT ALLOWED TO HAVE ANY PRIVACY .
"THE MOST IMPORTANT THING IS THAT , ALTHOUGH THEY ARE FAMOUS , THEY ARE JUST NORMAL PEOPLE THAT DESERVE TO HAVE A PRIVATE LIFE WITHOUT JOURNALISTS AND FANS FOLLOWING THEM ALL THE TIME , AND ON THE OTHER HAND PEOPLE HAVE TO LEARN TO RESPECT THE FAMOUS RIGHT TO KEEP THEIR PERSONAL LIVES IN SECRET .","THE MOST IMPORTANT THING IS THAT , ALTHOUGH THEY ARE FAMOUS , THEY ARE JUST NORMAL PEOPLE THAT DESERVE TO HAVE A PRIVATE LIFE WITHOUT JOURNALISTS AND FANS FOLLOWING THEM ALL THE TIME , AND ON THE OTHER HAND PEOPLE HAVE TO LEARN TO RESPECT THE THE RIGHT OF THE FAMOUS TO KEEP THEIR PERSONAL LIVES SECRET ."
"IN MY OPINION FAMOUS PEOPLE ARE BEING OBLIGED TO PAY A PRICE FOR BEING FAMOUS THAT IN SOME CASS , COSTS MORE THAN THEY DESERVE TO PAY .","IN MY OPINION FAMOUS PEOPLE ARE BEING OBLIGED TO PAY A PRICE FOR BEING FAMOUS THAT , IN SOME CASES , COSTS MORE THAN THEY DESERVE TO PAY ."
"Personally , I enjoy looking and learning about new inventions and all the science .","Personally , I enjoy looking at and learning about new inventions and all the science ."
"However , my class and I have seen an advertisement about a fashion and leisure show . We are attracted to this show and would like to go .","However , my class and I have seen an advertisement for a fashion and leisure show . We are attracted to this show and would like to go ."
It is in the Central Exhibition Hall and will start and ten o'clock and finish at five o'clock in the evening .,It is in the Central Exhibition Hall and will start at ten o'clock and finish at five o'clock in the evening .
"Apparently , this show is free to all students , which means if we went , the cost of the trip will be cut down .","Apparently , this show is free to all students , which means if we went , the cost of the trip would be reduced ."
We like to keep up with the rage but I think it will help those who want to become a fashion designer later on .,We like to keep up with the trends but I think it will help those who want to become fashion designers later on .
"For one , the future homes might not be built out of bricks at all !","For one , the future home might not be built out of bricks at all !"
"Also , due to global warming , sea levels might rise and risk of flooding will also rise .","Also , due to global warming , sea levels might rise and the risk of flooding will also rise ."
"Dear Mrs. Jane Clark ,","Dear Mrs. Clark ,"
"Recently I was at the annual international arts festival , that you organized .",Recently I was at the annual international arts festival that you organized .
I 'm writing this letter to thank you for giving a possibility to know more about modern art .,I 'm writing this letter to thank you for giving the opportunity to know more about modern art .
"I think , it is a wonderful idea to organize such festivals each year , because it is very interesting to learn some news about life in other countries .","I think it is a wonderful idea to organize such festivals each year , because it is very interesting to learn some news about life in other countries ."
"Unfortunately , only six countries were represented this year at the festival , but I hope that soon there would be much more of them .","Unfortunately , only six countries were represented this year at the festival , but I hope that soon there will be many more of them ."
"I extremely liked all concerts , shows , exhibitions , but why there were n't any photograph exhibitions ?","I really liked all the concerts , shows , and exhibitions , but why were n't there any photographic exhibitions ?"
"I think , you should make some next year .",I think you should have some next year .
"Then , I want to mark , that concert halls were too small , that is why they were overcrowded during some concerts .","Also , I want to point out that the concert halls were too small , that is why they were overcrowded during some concerts ."
"Then , I want to say , that plays and films were exellent , but it was n't enough of them for me .","Also , I want to say that the plays and films were excellent , but there were n't enough of them for me ."
May be you should make more next year ?,Maybe you should have more next year .
"And at the end , my opinion is that one weekend ticket for all events is a great idea , because you do n't have to stay in queues to buy a ticket for a show , you want to go to .","And finally , my opinion is that one weekend ticket for all events is a great idea , because you do n't have to wait in queues to buy a ticket for a show you want to go to ."
"You asked , if there are some school rules in my country .",You asked if there are some school rules in my country .
"As you know , I 'm studying at the private Academy , so the rules in my institute are different from the rules in state institutes . I 'll give you an example .","As you know , I 'm studying at a private Academy , so the rules in my institute are different from the rules in state institutes . I 'll give you an example ."
In our Acadamy we are not allowed to smoke .,In our Academy we are not allowed to smoke .
The fine for smoking on the Academy is territory is 100 dollars .,The fine for smoking on the Academy 's premises is 100 dollars .
"Well , I have rather modern parents , so they do n't prohibit me to go to the discoes or somewhere with my friends .","Well , I have rather modern parents , so they do n't stop me going to discos or somewhere with my friends ."
The only rule for me at home is to walk out with my dog three times a day .,The only rule for me at home is to walk my dog three times a day .
"Look forward to hearing from you ,","I look forward to hearing from you ,"
"I was to Circle Theatre to watch ' Over the rainbow ' musical show , recently .","I went to the Circle Theatre to watch the ' Over the rainbow ' musical show , recently ."
I was trully dissapointed by it .,I was truly disappointed by it .
My expectations were high after I 've read your leaflet in which it was advertised as ' London 's newest and best musical show ' .,My expectations were high after I 'd read your leaflet in which it was advertised as ' London 's newest and best musical show ' .
"Secondly , I had to wait fourty - five minutes before the show finally began .","Secondly , I had to wait forty - five minutes before the show finally began ."
Another unkept promise are the discounts .,Another unkept promise was the discounts .
"Lastly , when I got hungry after the delay it appeared that the theatre restaurant is closed . You can believe me it was n't ' my perfect evening out ' and I have no other choice than asking to give my money back .","Lastly , when I got hungry after the delay it appeared that the theatre restaurant was closed . You can believe me it was n't ' my perfect evening out ' and I have no other choice than to ask you to give me my money back ."
I 'd like you to send the money to this adress ; ul Taklowa 10,I 'd like you to send the money to this address : ul Taklowa 10
"Yours sincerely ,","Yours faithfully ,"
After two days the whole school knew .,"After two days , the whole school knew ."
"What are you dong here , why are n't you at school ? '",What are you doing here ? Why are n't you at school ? '
Paul was like paralyzed .,Paul was paralyzed .
"I had heard what you 've said about me ' , she said , I think it 's sweet ' .","I heard what you 've said about me ' , she said , I think it 's sweet ' ."
All the children were staring at them and Paul thought that Pat is n't that bad at all .,All the children were staring at them and Paul thought that Pat was n't that bad at all .
Dear Helen Ryan,"Dear Helen Ryan ,"
It is a dream becames true and was really unexpected for me !,It is a dream come true and was really unexpected for me !
I would like to travel on July because of it is more suitable for me .,I would like to travel in July because it is more suitable for me .
I think I will really enjoy if I could stay in tents it is going to be a new experience and looks exciting .,I think I will really enjoy it if I can stay in a tent . It is going to be a new experience and looks exciting .
"About the activities while at the Camp I would like to enjoy swimming , not because I am good in it , just because I keen on and the other one is Photography .","About the activities while at the Camp , I would like to do swimming , not because I am good at it , just because I am keen on it and the other one is Photography ."
As I never did this in whole my life could you tell me if we have to do our own meals or I can find everything ready to eat there ?,As I never did this in my whole life could you tell me if we have to make our own meals or can I find everything ready to eat there ?
"If no , what do you sugest ?","If not , what do you suggest ?"
How much I have to get in my pocket ?,How much do I have to put in my pocket ?
"Last month , I enjoyed to help at a pop concert in Portugal .","Last month , I enjoyed helping at a pop concert in Portugal ."
Everything were new for me .,Everything was new for me .
I had to ( lyd ) tidy up the place where they have to wait until their turn .,I had to ( lyd ) tidy up the place where they have to wait for their turn .
The group asked me make sure that in the fridge they always could find a big variety of drinks including honey and lemon for throat .,The group asked me to make sure that in the fridge they always could find a wide variety of drinks including honey and lemon for the throat .
"Other thing I had to do is keep an eye in the towels , I mean , dried towels because as you know that country is too hot , especially for my liking , as they have to change the clothes and looks fresh ; do n't ask me why .","The other thing I had to do was keep an eye on the towels , I mean , dry towels because as you know that country is too hot , especially for my liking , and they have to change clothes and look fresh ; do n't ask me why ."
I just did not enjoyed when they were making the instruments work for the big day .,I just did not enjoy it when they were making the instruments work for the big day .
But what I particularly liked was see and ask autographs from the rest of the others groups .,But what I particularly liked was to see the rest of the other groups and ask for their autographs .
"The festival was excenent in many ways , and especially it being an international festival was a challenging , but brilliant idea .","The festival was excellent in many ways , and in particular it being an international festival was a challenging , but brilliant idea ."
I personally think that it helped many people who were not able to afford the tickets with proper price to come to the festival .,I personally think that it helped many people who were not able to afford the tickets at the normal price to come to the festival .
"The festival was supposed to be an international one , but the artists and stars participated in it were from six countries only .","The festival was supposed to be an international one , but the artists and stars who participated in it were from six countries only ."
"Also , some of the concert halls where the musicians performed were not big enough for the vast number of audiences .","Also , some of the concert halls where the musicians performed were not big enough for the vast number of attendees ."
"Furthermore , I found that there were not many genres of neither the films nor the plays .","Furthermore , I found that there were not many genres in either the films or the plays ."
"So I suggest you have various kinds , and more numbers of plays and films next year .","So I suggest you have various kinds , and more plays and films next year ."
I hope that next year 's festival will be much more successful that this year 's one .,I hope that next year 's festival will be much more successful than this year 's one .
Some prefer realistic stories whereas others do unusual ones .,Some prefer realistic stories whereas others prefer unusual ones .
"Above all , realistic stories teach me something of the life , or at least influence me .","Above all , realistic stories teach me something about life , or at least influence me ."
"Here , the fishman is very old , but he is still challenging to everything he faces .","Here , the fishman is very old , but he is still challenging everything he faces ."
"When he caught a shark which was bigger than the ship , he never gave up taking it back to his village , even when sharks were around him .","When he caught a shark which was bigger than the ship , he never gave up on taking it back to his village , even when sharks were around him ."
"So when I read other sharks eating the shark the old man had caught , I got very angry and annoyed .","So when I read about other sharks eating the shark the old man had caught , I got very angry and annoyed ."
I was very disappointing a week holiday for me because I had got a lot of problem with the show .,I was very disappointed during a week 's holiday because I had a lot of problems with the show .
"I had seen the advertisement that the actors were Danny Brook and Tina Truelove , but it was not Danny Brook .","I had seen from the advertisement that the actors were Danny Brook and Tina Truelove , but it was not Danny Brook ."
I was really disappointing because he is my famous actor .,I was really disappointed because he is my favourite actor .
"The musical should started at 19.30 , but it started at 20.15 .","The musical should have started at 19.30 , but it started at 20.15 ."
When I went to asked for the discount of ticket in the cashier desk they told me no discount available for this .,When I went to ask for the discount on the ticket at the cashier desk they told me no discount was available .
I had seen the advertisement say that discount available .,I had seen the advertisement saying that a discount was available .
"After the show I decide to had dinner in your theatre restaurant , but I could n't because it closed .","After the show I decided to have dinner in your theatre restaurant , but I could n't because it was closed ."
"This was not perfect evening for me , so if you do n't give my money back , I will tell to the newspaper about it .","This was not a perfect evening for me , so if you do n't give me my money back , I will tell the newspaper about it ."
I am looking forward to hear a good new .,I am looking forward to hearing some good news .
"Yours sincerely ,","Yours faithfully ,"
I think in the next 100 years people will wear the space clothes with small engine in the back . because of the atmosphere .,"I think in the next 100 years people will wear space clothes with a small engine in the back , because of the atmosphere ."
The atmosphere in the earth now starting badly every years .,The atmosphere of the earth is now deteriorating badly every year .
"The carbon dioxide are growing very fast and people cut more trees , therefore not enough trees to such carbon dioxide and produce oxygen .","The level of carbon dioxide is growing very fast and people cut down more trees , therefore there are not enough trees to absorb the carbon dioxide and produce oxygen ."
The designer will have a lot of idea for how to make very nice and useful clothes .,The designers will have a lot of ideas about how to make very nice and useful clothes .
"I think if we wear this clothes we will travel to every where easier than we use cars , ships , planes and space ships .","I think if we wear these clothes we will travel everywhere easier than we use cars , ships , planes and spaceships ."
"This mean the engineering will find the way to useless petrol for it , so it must useful in the future .","This means the engineering will find the way to useless petrol for it , so it must useful in the future ."
I think somebody will make a very big area to grow plant because they can sell the oxygen .,I think somebody will make a very big area to grow plants so they can sell the oxygen .
This is a new business .,This will be a new business .
"I think I can win this price , because this clothe will produce in the future soon .","I think I can win this prize , because these clothes will be produced in soon in the future ."
MY NAME JAMES CAMIREZ AND I'AM WRITING THIS LETTER TO YOU BECAUSE I HAVE SOME COMPLEINTS FOR THE DISAPPOINTING EVENING I HAD LAST NIGHT .,MY NAME is JAMES CAMIREZ AND I AM WRITING THIS LETTER TO YOU BECAUSE I HAVE SOME COMPLAINTS REGARDING THE DISAPPOINTING EVENING I HAD LAST NIGHT .
"FIRST OF ALL ON THE ADVERTISEMENT FOR THE SHOW IT SAYS THAT THE ACTOR WAS GOING TO BE DANNY BROOK AND INSTEAD OF HIM WAS A TOTALLY UNKNOWN CLOWN THAT HAD NO IDEA OF HOW TO ACT , IT WAS HORRIBLY DISAPPOINTING !","FIRST OF ALL , IN THE ADVERTISEMENT FOR THE SHOW IT SAID THAT THE ACTOR WAS GOING TO BE DANNY BROOK AND INSTEAD OF HIM THERE WAS A TOTALLY UNKNOWN CLOWN THAT HAD NO IDEA OF HOW TO ACT . IT WAS HORRIBLY DISAPPOINTING !"
"SECOND I GOT TO THE THEATRE AT 19.20 BECAUSE IN THE ADVERTISEMENT IT CLEARLY APPEARS THAT THE SHOW STARTS AT 19.30 , AND I GOT HEAVILY MAD WHEN I LOOK MY WATCH AND NOTICE THAT I HAD BEEN WAITING FOR 40 ( FORTY ) MINUTES AND THE SHOW DIDN'T START YET ... I MEAN I WAS AMAIZING !","SECOND I GOT TO THE THEATRE AT 19.20 BECAUSE IN THE ADVERTISEMENT IT CLEARLY STATES THAT THE SHOW STARTS AT 19.30 , AND I GOT REALLY MAD WHEN I LOOKED AT MY WATCH AND NOTICED THAT I HAD BEEN WAITING FOR 40 ( FORTY ) MINUTES AND THE SHOW HADN'T STARTED YET ... I MEAN IT WAS AMAZING !"
"THEN I READ ON THE ADVERTISEMENT , DISCOUNTS AVAILABLE , AND I DIDN'T GOT ANY DISCOUNTS WHEN I ASKED FOR THEM .","THEN I READ IN THE ADVERTISEMENT , "" DISCOUNTS AVAILABLE "" , AND I DIDN'T GET ANY DISCOUNTS WHEN I ASKED FOR THEM ."
"AFTER THE SHOW I GOT OUT THE SHOW ROOM DEEPLY DISAPPOINTED AND WENT TO THE RESTAURANT TO DRINK SOMETHING TO RELAX , AND DO YOU KNOW WHAT ?","AFTER THE SHOW I GOT OUT OF THE SHOW ROOM DEEPLY DISAPPOINTED AND WENT TO THE RESTAURANT TO DRINK SOMETHING TO RELAX , AND DO YOU KNOW WHAT ?"
I COULDN'T BELIVE IT HOW THIS CLASS OF THEATRE CAN BE SO ..,I COULDN'T BELIEVE IT . HOW CAN THIS CLASS OF THEATRE BE SO ..
"OH I'M GETING MAD AGAIN SO I'AM GOING TO TELL YOU THE LAST THING , IT WAS THE HORRIBLE NIGHT I HAD EVER GOT SO I DEMEND FOR MY MONEY BACK !","OH I'M GETING MAD AGAIN SO I AM GOING TO TELL YOU ONE LAST THING , IT WAS THE MOST HORRIBLE NIGHT I HAD EVER HAD SO I DEMAND MY MONEY BACK !"
I THINK THAT MODERN TECHNOLOGY HAS AFFECTED ALL THE HUMAN BEINGS .,I THINK THAT MODERN TECHNOLOGY HAS AFFECTED ALL HUMAN BEINGS .
"MODERN TECHNOLOGY HAS AFFECT ME IN SEVERAL WAYS , I MEAN THE MORE THE TECHNOLOGY MODERNIZES ; MORE CONFORTNESSCOMFORTABLE WE GET .",MODERN TECHNOLOGY HAS AFFECTED ME IN SEVERAL WAYS . I MEAN THE MORE THE TECHNOLOGY ADVANCES ; THE MORE COMFORTCOMFORTABLE WE GET .
"NOW WITH MODERN MACHINES I CAN MAKE A BETTER USE OF MY TIME , IF I'AM LATE TO GO TO TRAINING AND I HADN'T IT YET I JUST TAKE MY FOOD AND PUT IT IN THE MICROWAVEOVEN .",NOW WITH MODERN MACHINES I CAN MAKE BETTER USE OF MY TIME . IF I AM LATE TO GO TO TRAINING AND I HAVEN'T EATEN YET I JUST TAKE MY FOOD AND PUT IT IN THE MICROWAVE OVEN .
"ANOTHER EXAMPLE IS THE COMPUTERS , I THINK THEY ARE ONE OF THE MOST ADVANCED MACHINE IN THE WORLD , YOU CAN LIVE YOUR ENTIRE LIFE IN A HOUSE WITHOUT GOING OUT , BY JUST USING THE INTERNET , IT HAS ALSO HELPED ME IN MY SCHOOL HOMEWORK , I MEAN IT 'S INCREDIBLE THE TIME YOU WAIST BY MAKING THING WITHOUT A COMPUTER .","ANOTHER EXAMPLE IS COMPUTERS . I THINK THEY ARE SOME OF THE MOST ADVANCED MACHINES IN THE WORLD . YOU CAN LIVE YOUR ENTIRE LIFE IN A HOUSE WITHOUT GOING OUT , JUST BY USING THE INTERNET . IT HAS ALSO HELPED ME WITH MY HOMEWORK . I MEAN IT 'S INCREDIBLE THE TIME YOU WASTE BY DOING SOMETHING WITHOUT A COMPUTER ."
"BUT I THINK ALSO THAT WITH MODERN TECHNOLOGY WE GET MORE COMFORTABLE SO THAT MAKES ME A PACIVE PERSON AND NOT SO ACTIVE ,",BUT I THINK ALSO THAT WITH MODERN TECHNOLOGY WE GET MORE COMFORTABLE SO THAT MAKES ME A PASSIVE PERSON AND NOT SO ACTIVE .
THIS CAN BE BAD TO BECAUSE IF I GET USED TO BE CONFORTABLE WHEN I NEED TO DO HARD WORKS I WON'T BE ABLE TO DO THEM .,"THIS CAN BE BAD TOO BECAUSE IF I GET USED TO BEING COMFORTABLE , WHEN I NEED TO DO HARD WORK I WON'T BE ABLE TO ."
"1th , June , 2000",1ST June 2000
I am writing to reply your letter and I am so glad to win the prize .,I am writing to reply to your letter and I am so pleased to have won the prize .
In answer your questions : I would like to travel in July .,In answer to your questions : I would like to travel in July .
Camping is my enthusiasm and I sleep in tents every time I go camping .,Camping is my hobby and I sleep in tents every time I go camping .
"My Dad is an amateur painter , and I have begun painting for 8 years .","My Dad is an amateur painter , and I have been painting for 8 years ."
"I would also like to play golf during my holiday , but I have never played it before , will I get any tuition ?","I would also like to play golf during my holiday , but I have never played it before . Will I get any tuition ?"
How is the weather like in California in July ?,What is the weather like in California in July ?
"Our lives are getting better and better , so people began to go shopping more frequently .","Our lives are getting better and better , so people have begun to go shopping more frequently ."
"It 's always a great job to go home with bags of purchases , but is it doing us good apart from the temporary satisfaction ?","It 's always a great treat to go home with bags of purchases , but is it doing us any good apart from the temporary satisfaction ?"
"Everyone likes sale , but those so - called sale items are not really of value .","Everyone likes sales , but those so - called sale items are not really good value ."
"In fashion industry , sale begins at the end of each season and just lasts a short time , because those owners want to make room for new stock .","In the fashion industry , sales begin at the end of each season and just last a short time , because those retailers want to make room for new stock ."
But you 'll find your ' cool bargain ' soon get out of date and you have to keep buying new ones .,But you 'll find your ' cool bargain ' soon gets out of date and you have to keep buying new ones .
Also supermarket owners have put in a vast amount of money to find out the best way to place goods in order to get the most profit .,Also supermarket owners have invested a vast amount of money to find out the best way to place goods in order to get the most profit .
"Therefore , we become impulsive buyers easily under these tricks .","Therefore , we become impulsive buyers easily under the influence of these tricks ."
"The result , we feel guilty after spending more than we 've estimated , or even suffer from financial difficulty .","The result is we feel guilty after spending more than we expected , or even suffer from financial difficulty ."
"Shopping does not just effect us mentally , but also physically .","Shopping does not just affect us mentally , but also physically ."
I do n't think anyone would really like to face them .,I do n't think anyone really likes to face them .
"Well , now before you go shopping , think again and you 'll find out it wo n't be always enjoyable .","Well , now before you go shopping , think again and you 'll realise it wo n't always be enjoyable ."
"I 'm a person , went to see the musical show , I would like to know something about "" Over the rainbow "" programme ?","I 'm a person who went to see the musical show . I would like to know something about the "" Over the rainbow "" programme ."
"The first , you have changed the actor .","First , you have changed the actor ."
"The second , the time is late from 19.30 , it started 20.15 .","Second , the time is late from 19.30 , it started 20.15 ."
"The third , the tickets have not the discount .","Third , the tickets have not the discount ."
"The last , after show , I could n't go to the restaurant , because it was closed .","Last , after the show , I could n't go to the restaurant , because it was closed ."
This is the famous theatre .,This is a famous theatre .
"Everybody attented go to the show , funny , and happ in the end , and what have we go then ?","Everybody attented go to the show , funny , and happy in the end , and what have we go then ?"
Disapponted !,Disappointed !
Thank about that .,Think about that .
"If you can not managed the programe , why did you informe people before programe start ?","If you could not manage the programme , why did n't you inform people before the programme started ?"
"I tought you inderstood ' ; please send money back to me , you know why , do n't answer me ?","I thought you understood ' ; please send money back to me , you know why , do n't answer me ?"
"Now we know , our world have developed to new world , becase we have high technology to do .","Now we know , our world has developed to new world , because we have high technology to do ."
"If we came back to the past , we felt everything , it was so difficult to do , we would have plane and done by ourself and last time .","If we came back to the past , we felt everything , it was so difficult to do , we would have plane and done by ourselves and last time ."
"In the present , the teachnology is a past of life .","Today , technology is a part of life ."
"It started from got up in the morning , we have the machine help us to cook , iron , cleanning , washing , and then we went out to work , there are car , sky train to travel for help us convenience and quickly .","It started from got up in the morning , we have the machine help us to cook , iron , cleaning , washing , and then we went out to work , there are car , sky train to travel for help us convenience and quickly ."
"While we worked at the office , there are the computer and equipment for help to work and easy , after we have finished work , we come back home , there are television for get information , news , data by different way and quickly .","While we work at the office , there are the computer and equipment to help us to work and easy . After we have finished work , we come back home , and there is the television for get information , news , data by different way and quickly ."
How has modern technology changed your daily life ?,How has modern technology changed your everyday life ?
"We appreciated the mordern technology changed my daily life for help every easy and quickly , we have time to do many things .","We appreciated the modern technology changed my daily life for help every easy and quickly , we have time to do many things ."
"Regarding the programme you have organised , it is great ideas everything that you have planed , but I would like to suggest to you something that the students saw in an advertisement .","Regarding the programme you have organised , everything that you have planned is a great idea , but I would like to suggest something that the students saw in an advertisement ."
"It is good start to go on sightseeing by bus on Monday morning , we can se all famous buildings in a few hours .","It is a good start to go on a sightseeing bus on Monday morning , because we can see all the famous buildings in a few hours ."
It 's seems relaxing to go to Greenwich in the afternoon looking though the river .,It will be relaxing to go to Greenwich in the afternoon looking over the river .
"The idea about going to science museum is fantastic , I read about the museum , it is really interesting in science history .","The idea of going to the science museum is fantastic . I read about the museum , and it is really interesting for the history of science ."
"After all morning in the Museum , it is wonderful and on tuesday doing some shops , whereas the student have another idea for tuesday .","After all morning in the museum , it is wonderful and on Tuesday doing some shopping , whereas the students have another idea for Tuesday ."
"On Wednesday after viseted national Art Gallery , we can have a chat about ours next holiday at the free time in the afternoon .","On Wednesday after we have visited the National Art Gallery , we can have a chat about our next holiday during the free time in the afternoon ."
"The advertisement that students saw is about a fashion show , but to go to the show you will need cancel the tour on tuesday and add the show , because the show is from 10.00 to 19.00 .","The advertisement that the students saw is for a fashion show , but to go to the show you will need to cancel the tour on Tuesday and add the show , because the show is from 10.00 to 19.00 ."
"Yours faithfully ,","Yours sincerely ,"
Nowadays the main attroction in the newspapers and television is private life of famous people .,Nowadays the main attraction in the newspapers and on television is the private lives of famous people .
